amostra;estado;frutos;maior_diam;endocarpo1;endocarpo2;endocarpo3;endocarpo4;endocarpo5;;predado1
1;predado;4;21.18;4.085;4.31;4.95;4.83;2.25;;1
1;predado;4;22.2;3.4475;4.15;3.86;3.36;2.42;;1
1;predado;4;27.24;3.825;3.01;4.2;4.08;4.01;;1
1;predado;3;22.87;3.993333333;4.14;4.34;3.5;;;1
1;predado;4;20.7;3.255;3.23;3.39;3.1;3.3;;1
1;predado;3;22.71;3.393333333;2.74;3.65;3.79;;;1
1;predado;3;23.81;3.106666667;1.96;4.56;2.8;;;1
1;predado;3;22.87;3.413333333;3.63;2.84;3.77;;;1
1;predado;3;22.39;3.38;4.08;4.43;1.63;;;1
1;predado;3;22.61;3.886666667;3.85;4.04;3.77;;;1
1;predado;3;23.25;4.053333333;4.05;4.18;3.93;;;1
1;predado;3;21.22;3.08;2;3.54;3.7;;;1
1;predado;3;23.22;3.04;2.28;2.6;4.24;;;1
1;predado;3;19.61;3.03;3.37;3.72;2;;;1
1;predado;4;23.64;3.13;3.75;2.95;2.35;3.47;;1
1;predado;3;22.76;3.303333333;3.89;3.42;2.6;;;1
1;predado;3;19.06;3.54;3.5;4.03;3.09;;;1
1;predado;4;25.6;3.825;3.92;3.43;4.15;3.8;;1
1;predado;4;25.79;3.905;4.35;4.12;4.79;2.36;;1
1;predado;2;23.24;4.39;4.34;4.44;;;;1
1;predado;3;18.19;2.836666667;3.89;1.15;3.47;;;1
1;predado;3;20.91;3.116666667;2.67;2.89;3.79;;;1
1;predado;4;23.63;3.3725;2.7;3.11;3.8;3.88;;1
1;predado;3;21.99;3.386666667;3.5;3.59;3.07;;;1
1;predado;3;20.92;2.463333333;3.85;1.59;1.95;;;1
1;predado;3;22.34;4.133333333;5.7;1.88;4.82;;;1
1;predado;4;20.96;3.725;4.07;4.16;4.01;2.66;;1
1;predado;3;25.44;3.463333333;4.58;3.91;1.9;;;1
1;predado;2;19.54;4.645;4.54;4.75;;;;1
1;predado;3;21.42;3.206666667;4.02;3.55;2.05;;;1
1;predado;4;21.91;3.965;4.23;3.59;4.06;3.98;;1
1;predado;3;21.47;3.903333333;3.3;4.11;4.3;;;1
1;predado;3;21.03;2.73;3.68;2.29;2.22;;;1
1;predado;3;22.31;3.403333333;3.64;3.4;3.17;;;1
1;predado;3;21.69;3.2;4.2;2.2;;;;1
1;predado;3;20.4;3.66;4.28;4.8;1.9;;;1
1;predado;4;24.68;3.63;4.11;2.52;4.26;;;1
1;predado;3;21.24;2.963333333;2.8;3.01;3.08;;;1
1;predado;2;19.03;2.945;3.7;2.19;;;;1
1;predado;3;18.46;3.743333333;4.09;4.06;3.08;;;1
1;predado;3;18.87;3.346666667;2.31;4.03;3.7;;;1
1;predado;3;21.01;3.696666667;4.5;4.04;2.55;;;1
1;predado;2;19.02;6.775;4.4;9.15;;;;1
1;predado;3;19.14;2.75;3.15;1.7;3.4;;;1
1;predado;3;18.69;3.16;3.06;3.34;3.08;;;1
1;predado;3;18.83;2.016666667;1.82;2.37;1.86;;;1
1;predado;3;20.7;3.31;1.88;4.12;3.93;;;1
1;predado;4;20.03;3.4175;3.06;3.44;3.45;3.72;;1
1;predado;4;17.67;2.7675;3.83;3.39;1.65;2.2;;1
1;intacto;5;21.58;3.9125;4.22;3.66;4.03;3.74;;0
1;intacto;4;22.87;4.17;3.25;4.38;5.87;3.18;;0
1;intacto;3;22.01;3.263333333;3.36;3.16;3.27;;;0
1;intacto;2;21.1;7.05;8.55;5.55;;;;0
1;intacto;3;23.69;4.906666667;4.9;5.35;4.47;;;0
1;intacto;3;23.32;4.616666667;4.27;5.12;4.46;;;0
1;intacto;3;22.25;4.626666667;5.45;4.47;3.96;;;0
1;intacto;2;21.77;5.205;5.25;5.16;;;;0
1;intacto;1;16.16;4.94;4.94;;;;;0
1;intacto;3;20.16;4.523333333;4.8;4.84;3.93;;;0
1;intacto;1;18.33;8.6;8.6;;;;;0
1;intacto;3;26.11;4.266666667;3.68;4.26;4.86;;;0
1;intacto;3;19.9;4.12;4.16;3.53;4.67;;;0
1;intacto;3;22.63;3.503333333;3.33;3.4;3.78;;;0
1;intacto;3;21.02;4.936666667;5.32;3.85;5.64;;;0
1;intacto;3;20.17;4.953333333;4.55;4.97;5.34;;;0
1;intacto;3;20.65;4.546666667;2.52;4.84;6.28;;;0
1;intacto;2;16.44;5.385;6.44;4.33;;;;0
1;intacto;3;22.08;5.05;4.65;5.38;5.12;;;0
1;intacto;3;17.98;3.536666667;3.6;2.68;4.33;;;0
1;intacto;2;23.29;7.005;8.51;5.5;;;;0
1;intacto;2;23.62;6.7;8.9;4.5;;;;0
1;intacto;4;24.9;4.3975;4.8;4.2;4.73;3.86;;0
1;intacto;1;19.1;7.8;7.8;;;;;0
1;intacto;2;20.98;5.465;6.4;4.53;;;;0
1;intacto;2;21.95;4.85;4.7;5;;;;0
1;intacto;3;22.85;5.076666667;6.09;4.34;4.8;;;0
1;intacto;3;22.68;4.08;4.4;4.08;3.76;;;0
1;intacto;2;19.9;4.78;5.82;3.74;;;;0
1;intacto;3;23.26;3.58;4.19;3;3.55;;;0
1;intacto;3;22.69;3.48;3.9;3.06;;;;0
1;intacto;4;21.37;3.5675;3.73;3.43;3.52;3.59;;0
1;intacto;3;18.55;3.016666667;2.32;2.98;3.75;;;0
1;intacto;2;19.89;6.695;7.62;5.77;;;;0
1;intacto;4;22.42;3.2725;2.08;3.97;3.19;3.85;;0
1;intacto;3;19.57;3.183333333;2.77;3.1;3.68;;;0
1;intacto;2;24.62;4.73;3.8;5.66;;;;0
1;intacto;4;23.55;3.593333333;2.5;4.25;4.03;;;0
1;intacto;5;22.73;5.816;8.16;4.1;8.43;3.96;4.43;0
1;intacto;2;17.11;3.785;3.81;3.76;;;;0
1;intacto;1;18.38;7.84;5.68;10;;;;0
1;intacto;2;24.8;6.55;8.69;4.41;;;;0
1;intacto;3;23.76;4.18;3.45;4.62;4.47;;;0
1;intacto;4;22.42;3.66;3.29;3.3;4.15;3.9;;0
1;intacto;4;22.1;4.6125;4.04;4.17;5.53;4.71;;0
1;intacto;4;29.24;3.8175;4.4;3.36;3.77;3.74;;0
1;intacto;4;23.27;4.045;4.43;5.01;2.94;3.8;;0
1;intacto;3;23.43;4.623333333;3.28;3.71;6.88;;;0
1;intacto;3;19.14;3.49;2.87;4.31;3.29;;;0
1;intacto;4;23.51;3.67;4.34;3.3;4.76;2.28;;0
1;intacto;3;22.55;5.92;3.73;4.08;9.95;;;0
1;intacto;1;21.25;6.32;6.73;5.91;;;;0
1;intacto;4;22.97;4.1475;4.29;4.02;4.42;3.86;;0
1;intacto;4;27.3;4.575;4.04;4.81;4.46;4.99;;0
1;intacto;4;23.78;3.0875;2.67;3.54;3.2;2.94;;0
1;intacto;3;25.16;4.236666667;3.88;4.37;4.46;;;0
1;intacto;4;22.14;4.73;4.86;5.47;4.46;4.13;;0
1;intacto;2;19.94;3.825;4.01;3.64;;;;0
1;intacto;1;19.06;7.14;6.68;7.6;;;;0
1;intacto;3;23.55;4.12;5.53;3.76;3.07;;;0
1;intacto;1;20.34;6.905;7.81;6;;;;0
1;intacto;1;14.73;5.495;4.43;6.56;;;;0
1;intacto;3;20.21;4.27;4.47;3.73;4.61;;;0
1;intacto;1;20;7.09;8.7;5.48;;;;0
1;intacto;2;21.67;5.94;7.17;4.71;;;;0
1;intacto;2;20.85;5.045;6.19;3.9;;;;0
1;intacto;2;23.68;4.95;5.69;4.21;;;;0
1;intacto;1;16.94;6.09;6.84;5.34;;;;0
1;intacto;4;23.87;4.766666667;4.31;7.43;2.56;;;0
1;intacto;1;19.55;6.69;7.45;5.93;;;;0
1;intacto;2;18.44;3.95;3.5;4.4;;;;0
1;intacto;2;19.36;5.23;3.38;7.08;;;;0
1;intacto;3;22.86;4.593333333;3.65;6.3;3.83;;;0
1;intacto;1;18.94;5.155;6.78;3.53;;;;0
1;intacto;2;21.35;5.72;7.14;4.3;;;;0
1;intacto;1;19.3;5.95;6.02;5.88;;;;0
1;intacto;2;17.69;5.11;7.03;3.19;;;;0
1;intacto;2;16.69;4;4.21;3.79;;;;0
1;intacto;3;22.82;4.526666667;4.17;4.88;4.53;;;0
2;predado;3;22.24;5.55;4.28;6.1;6.27;;;1
2;predado;3;23.22;4.703333333;5;4.79;4.32;;;1
2;intacto;3;22.93;6.416666667;4.87;4.33;10.05;;;0
2;intacto;2;19.57;5.935;4.3;7.57;;;;0
2;intacto;3;22.67;6.51;10.01;4.83;4.69;;;0
2;intacto;1;18.72;4.44;5.75;3.13;;;;0
2;intacto;3;18.82;4.4;3.14;3.06;7;;;0
2;intacto;3;14.42;3.073333333;3.44;3.47;2.31;;;0
2;intacto;2;19.83;5.845;6.7;4.99;;;;0
2;intacto;2;21.05;4.845;6.02;3.67;;;;0
3;intacto;3;20.61;4.343333333;4.77;3.31;4.95;;;0
3;intacto;3;26.93;6.21;6.1;4.42;8.11;;;0
3;intacto;4;21.67;4.486666667;4.06;4.34;5.06;;;0
3;intacto;1;21.74;8.6;10.38;6.82;;;;0
3;intacto;3;21.53;4.613333333;3.76;3.89;6.19;;;0
3;intacto;3;22.63;3.996666667;3.27;3.84;4.88;;;0
3;intacto;2;18.41;5.06;5.06;;;;;0
3;intacto;1;17.4;5.735;7;4.47;;;;0
3;intacto;2;18.74;6.265;5.76;6.77;;;;0
3;predado;4;20.61;3.0825;3.15;3.03;2.9;3.25;;1
3;predado;4;22.08;3.2975;3.47;3.06;3.82;2.84;;1
3;predado;4;21.5;3.5175;3.03;4.82;2.76;3.46;;1
3;predado;4;20.89;4.02;5.66;4.18;3.42;2.82;;1
3;predado;2;17.32;5.15;6.74;3.56;;;;1
4;predado;3;21.44;4.05;3.71;3.92;4.52;;;1
4;predado;3;22.81;3.61;4.86;3.48;2.49;;;1
4;predado;3;21.75;4.28;5.25;4.8;2.79;;;1
4;intacto;2;23.59;6.1;6.22;5.98;;;;0
4;intacto;3;24.29;5.443333333;5.19;6.49;4.65;;;0
4;intacto;2;21.14;6.855;8.39;5.32;;;;0
4;intacto;4;25.8;4.3125;4.61;3.93;4.11;4.6;;0
4;intacto;1;23.14;7.84;7.92;7.76;;;;0
4;intacto;1;19.68;5.395;7.49;3.3;;;;0
4;intacto;1;19.86;5.94;7.16;4.72;;;;0
4;intacto;3;20.09;3.226666667;3.27;3.32;3.09;;;0
4;intacto;1;21.48;5.765;7.09;4.44;;;;0
4;intacto;1;19.76;6.535;8.25;4.82;;;;0
4;intacto;2;21.31;7.185;9.05;5.32;;;;0
4;intacto;2;19.43;6.04;6.73;5.35;;;;0
4;intacto;3;19.45;4.2;5.23;3.76;3.61;;;0
4;intacto;3;20.85;4.126666667;3.47;4.18;4.73;;;0
4;intacto;4;20.3;3.425;3.85;2.95;4.23;2.67;;0
4;intacto;4;21.32;3.585;3.88;4.39;2.93;3.14;;0
5;predado;4;26.22;4.07;4.03;4.16;4.15;3.94;;1
5;predado;4;23;3.7225;4.07;3.42;3.26;4.14;;1
5;predado;3;22.54;4.686666667;4.25;3.44;6.37;;;1
5;predado;3;21.77;3.11;2.7;3.17;3.46;;;1
5;predado;3;20.63;2.543333333;3.67;1.34;2.62;;;1
5;predado;3;21.42;3.725;3.88;3.57;;;;1
5;intacto;2;23.1;6.96;7.4;6.52;;;;0
5;intacto;1;18.53;5.85;6.9;4.8;;;;0
5;intacto;3;23.91;4.283333333;4.45;3.94;4.46;;;0
5;intacto;2;20.24;4.31;3.83;4.79;;;;0
5;intacto;1;20.23;5.835;7.38;4.29;;;;0
5;intacto;2;19.45;4.905;5.94;3.87;;;;0
5;intacto;1;21.25;9.3;8.6;10;;;;0
5;intacto;1;24.42;9.115;9.25;8.98;;;;0
5;intacto;4;25.54;3.8875;4;3.61;3.19;4.75;;0
5;intacto;2;17.26;5.4;5.46;5.34;;;;0
5;intacto;4;24.48;5.64;5.46;5.82;;;;0
5;intacto;1;20.89;7.275;7.36;7.19;;;;0
5;intacto;3;22.72;4.163333333;4.16;3.63;4.7;;;0
5;intacto;1;21.33;6.915;7.16;6.67;;;;0
5;intacto;2;25.04;7.025;7.92;6.13;;;;0
5;intacto;3;22.77;4.366666667;4.78;4.5;3.82;;;0
5;intacto;3;24.95;5.386666667;7.7;3.76;4.7;;;0
5;intacto;3;23.87;4.313333333;4.61;4.03;4.3;;;0
5;intacto;3;23.08;3.59;3.6;3.58;;;;0
5;intacto;1;18.26;5.915;7.24;4.59;;;;0
5;intacto;2;18.76;5.375;4.47;6.28;;;;0
5;intacto;3;21.94;3.686666667;3.92;3.6;3.54;;;0
5;intacto;3;19.53;3.513333333;2.55;4.57;3.42;;;0
5;intacto;2;17.95;5.52;6.89;4.15;;;;0
5;intacto;4;24.49;3.18;3.64;3.03;3.04;3.01;;0
5;intacto;4;22.29;4;4;;;;;0
5;intacto;3;19.49;3.92;3.69;4.31;3.76;;;0
6;intacto;4;26.15;4.9;4.82;4.98;;;;0
6;intacto;3;19.65;4.92;5.87;3.97;;;;0
6;intacto;3;20.65;4.625;3.54;5.71;;;;0
6;intacto;3;22.68;3.73;3.89;3.57;;;;0
6;intacto;2;19.45;4.9;4.29;5.51;;;;0
6;intacto;3;22.74;4.495;3.57;5.42;;;;0
6;intacto;3;18.7;2.815;2.75;2.88;;;;0
6;intacto;3;21;3.97;4.17;3.77;;;;0
6;intacto;3;21.03;5.185;5.01;5.36;;;;0
6;intacto;2;19.14;5.28;5.09;5.47;;;;0
6;intacto;2;20.68;3.55;3.61;3.49;;;;0
6;intacto;3;21.81;3.495;3.48;3.51;;;;0
6;intacto;2;20.56;4.35;3.86;4.84;;;;0
6;intacto;2;21.58;5.24;5.38;5.1;;;;0
6;intacto;3;20.06;4.72;3.93;5.51;;;;0
6;intacto;2;22.9;6.635;7.81;5.46;;;;0
6;intacto;4;25.73;4.62;5.32;3.92;;;;0
6;intacto;2;21.82;5.915;7.17;4.66;;;;0
6;intacto;3;21.04;5.055;5.45;4.66;;;;0
6;intacto;4;26.58;5.535;5.76;5.31;;;;0
6;intacto;4;22.66;3.975;4.02;3.93;;;;0
6;intacto;3;24.36;4.175;4.19;4.16;;;;0
6;intacto;3;25.57;5.995;4.34;7.65;;;;0
6;intacto;2;22.11;5.58;8;3.16;;;;0
6;intacto;3;21.12;3.48;3.9;3.06;;;;0
6;intacto;3;22.97;4.925;4.57;5.28;;;;0
6;intacto;3;21.13;4.21;4.3;4.12;;;;0
6;intacto;2;18.85;4.03;2.77;5.29;;;;0
6;intacto;1;20.82;7.045;9.14;4.95;;;;0
6;intacto;3;23.05;6.52;4.24;8.8;;;;0
6;intacto;3;20.95;4.49;5.37;3.61;;;;0
6;predado;3;21.74;2.49;1.83;3.15;;;;1
6;predado;3;21.95;4.255;4.55;3.96;;;;1
6;predado;4;26.56;4.44;4.44;;;;;1
6;predado;3;21.2;2.375;3.23;1.52;;;;1
6;predado;4;24.28;4.51;4.32;4.7;;;;1
6;predado;3;25.24;3.395;3.84;2.95;;;;1
6;predado;3;23.11;3.49;3.53;3.45;;;;1
6;predado;3;22.46;3.99;4.28;3.7;;;;1
6;predado;4;24.16;3.625;3.78;3.47;;;;1
6;predado;4;23.11;4.04;3.12;4.96;;;;1
6;predado;4;25.4;3.215;3.22;3.21;;;;1
6;predado;4;23.49;3.235;3.4;3.07;;;;1
6;predado;2;22.62;5.91;8;3.82;;;;1
6;predado;3;24.4;3.76;3.86;3.66;;;;1
6;predado;3;21.36;4.365;3.85;4.88;;;;1
6;predado;4;23.04;3.845;4.1;3.59;;;;1
